,VOX,VCR,VDC,VDE,VFH,VHT,VIS,VGT,VAW,VNQ,VPU,GLD,SLV,DBB,USO,UNG,DBC,GSG,DBA,AGG,LQD,HYG,BWX,SPY,EWU,EWQ,EWG,EWJ,GXC,EWL,ILF,VWO,VEA,FXE,FXY,FXB,FXF,CYB
2008-05-22,72.52015279384128,52.64541695503228,73.80582148166755,131.98392596642327,50.83443719879827,56.85582898502028,74.13277549662946,57.30968534353375,100.4945453389137,78.08525127464294,97.12221537439666,90.9799999999999,177.79999999999967,25.83370990237095,105.63000000000036,55.75,43.84582262711293,69.70000000000003,36.541466876971555,123.45156642414392,139.0193020339248,106.87490984593082,57.13785015875519,159.3635292220729,29.893966609021735,42.53730803186596,41.39824030174409,14.230821598640679,80.24192249890777,27.709359393992834,330.58722096579675,110.92859323086402,48.61128882218979,168.88641492448363,95.83999999999982,216.75035189226446,99.20518968841337,25.29
2008-05-23,71.8630331681098,51.85321505830812,73.47557025967971,129.44179898648747,50.0343263933838,56.30971514648853,73.26013632318259,56.98928008041379,99.07822929249265,77.7136450742263,95.53300423736638,91.2299999999999,180.20999999999967,26.220223152022275,106.95000000000037,56.4,43.92985870306331,69.90000000000003,36.59217665615136,123.92567879150401,139.6602516542906,106.23778549704632,57.422269679545444,157.22741138360055,29.507573244837914,42.01731967962949,40.77451496780349,14.114262374824559,77.8010110615989,27.50894910526582,329.11468761705555,107.98526679135749,47.96695656976018,169.59408449371833,96.61999999999982,217.0453395177038,100.00349824053306,25.29
2008-05-27,72.42320071791369,52.37792021068386,73.86974107302002,128.94577420991462,50.538505805014836,56.648967682546136,73.85228433373584,58.019882996818765,98.69486555060425,78.78051448832566,96.05147028207129,89.3599999999999,172.55999999999966,25.89638772663873,104.26000000000037,55.75,43.22605656697884,68.55000000000003,36.206782334384805,123.2327453315162,138.81900527756045,105.64385601927263,57.02611391844474,158.39256656822184,29.46893390841953,41.98340739578798,40.83566451034668,14.156647547121327,77.84966710353862,27.30853881653881,324.35995231604625,108.34395173380632,47.91581908940863,168.7127142120351,95.76999999999983,216.58646987813148,99.00049518786987,25.26
2008-05-28,73.1880448724536,52.71743530927993,73.68863556418799,130.65085937938375,50.23161398923943,56.6075954220513,74.56722514226695,58.3362066642302,101.48490167212542,78.91237475298963,96.1529092908179,89.1399999999999,172.64999999999966,25.509874476987406,105.92000000000037,56.87,43.499173813817585,69.50000000000003,36.409621451104044,122.66137914521047,137.93102299101201,106.16219447260241,56.77216791773917,159.12364433112148,29.597731696480803,42.220793382678536,40.994653320958996,13.99770315100844,77.39351671035382,27.414017915868815,333.31925534677083,108.83978091895615,47.98741156190081,168.23235668625153,95.35999999999983,217.04533951770378,98.73439233716331,25.21
2008-05-29,74.39455959510812,53.29358214326112,74.47697719086861,128.24307244310307,51.064606060629835,57.47641289244273,74.89114049260117,58.85661011706835,100.46259836042302,79.7634728249116,96.70518833843835,86.5099999999999,164.7799999999997,24.6846164574616,102.26000000000036,54.16,42.312164241018415,67.32000000000002,35.902523659305935,122.32099077890068,137.25669057791882,106.05960665371423,56.18809211611634,159.92326063429294,29.417414793195018,42.05134500441712,40.77451496780348,14.156647547121327,78.57950773263428,27.224155537074804,329.19355160546183,109.66264637516227,47.83399912084614,166.72051715197736,94.47999999999983,216.6410972161758,97.54716423401094,25.27
2008-05-30,74.5130565767974,53.04666207155489,74.41305759951612,129.14211735064137,50.64811002493464,57.52688705024642,75.43134569521114,59.14232181666577,101.37841174382311,79.39186662449498,96.5699363267762,87.4499999999999,166.72999999999968,25.039790794979034,103.06000000000036,55.63,42.59578599735096,67.90000000000003,35.85181388012613,122.75863296415613,137.80416837864794,106.06500601260308,56.35569647658201,160.3230687858787,29.353015899164383,42.39035480188607,41.006883229467626,14.347380822456794,78.57950773263428,27.329634636404812,332.4343859116375,109.48330390393785,48.079459026533605,167.34240859160786,94.65219999999982,217.32940167553426,98.29429916099475,25.25
2008-06-02,73.79130223378085,52.49109191021588,73.95496719482333,129.77248217086935,49.92472217346402,57.00683773582641,74.76647775353733,58.384165413805476,100.82466411665098,78.0612766810677,95.91621827040913,87.9599999999999,166.41999999999967,24.851757322175686,103.05000000000035,56.7,43.16302951001606,68.23000000000003,36.947145110410034,123.21353770227444,138.27580047430044,105.19473734689797,56.56606534356652,158.66672072930925,28.91510341975605,41.61037227353137,40.38315789552702,14.379169701679373,78.81265126692874,27.540592835064825,329.4921950398193,108.87142959034868,47.629449199439904,167.1473705694203,95.39999999999985,215.72029880610066,98.70491632908504,25.32
2008-06-03,73.24190713685782,52.480803573894775,73.84843454256918,127.93305695774507,49.62879077968059,57.186807068978915,74.37171241316851,58.315798685687525,100.88855807363237,78.57673044293593,95.39775222570422,86.8799999999999,165.8699999999997,24.84131101813106,100.65000000000036,57.900000000000006,42.14409208911764,67.02000000000002,36.35891167192423,123.4454173790121,138.81237711564427,105.27082364173452,56.32163149980605,157.74145043563942,29.130195725818382,41.497331327393006,40.10186999982832,14.368573408605181,76.97791301878544,27.37182627613681,322.33581348317887,106.98305886392693,47.46580926231492,166.3408823557876,94.91999999999985,215.53388874765997,98.29513982123207,25.33
2008-06-04,73.33885921278542,52.67628196399554,74.18933902978243,126.2796410358356,49.43150318382497,57.35229611095824,74.19510686616141,58.66273432091297,100.27091648947882,78.98429853371546,95.89367626846544,86.6499999999999,166.40989999999968,24.672916596931618,98.98000000000035,58.75000000000001,41.51382151948977,66.11000000000003,36.56175078864347,123.00606641256184,138.38311580256922,105.16212893482515,56.19941457792582,157.66148880532228,28.741999192601703,41.14690439436408,39.85727182965553,14.538114097792262,76.1365689602446,27.255799266873804,315.75459705937504,105.4955713084774,47.23057685269776,166.11506565597045,94.85999999999984,214.5031507774585,98.23367334505413,25.38
2008-06-05,75.3963977130266,53.3594274957161,74.96702739123765,131.93225671886358,50.30833694318328,57.92116469276215,75.29629439455866,59.70354122658928,103.7211901664745,80.79438034864809,97.49415840646758,86.4499999999999,169.7199999999997,24.54881450488141,103.95000000000036,59.18000000000001,43.089497943559465,68.60000000000002,37.61651419558354,122.55084999454532,137.6453229207215,105.61864670384455,56.26052303886594,160.8142616578269,29.262857447521494,41.881670544263436,40.554376614647964,14.65467332160838,78.17404071647003,27.769271522412275,329.45901243600184,108.6182402192083,47.96695656976018,167.85708019741708,94.14999999999984,215.0623809527806,98.66393867829976,25.29
